Date,EstimatedTransactionVolumeUSD
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2009-01-13,0.0
2009-01-14,0.0
2009-01-15,0.0
2009-01-16,0.0
2009-01-17,0.0
2009-01-18,0.0
2009-01-19,0.0
2009-01-20,0.0
2009-01-21,0.0
2009-01-22,0.0
2009-01-23,0.0
2009-01-24,0.0
2009-01-25,0.0
2009-01-26,0.0
2009-01-27,0.0
2009-01-28,0.0
2009-01-29,0.0
2009-01-30,0.0
2009-01-31,0.0
2009-01-02,0.0
2009-02-02,0.0
2009-03-02,0.0
2009-04-02,0.0
2009-05-02,0.0
2009-06-02,0.0
2009-07-02,0.0
2009-08-02,0.0
2009-09-02,0.0
2009-10-02,0.0
2009-11-02,0.0
2009-12-02,0.0
2009-02-13,0.0
2009-02-14,0.0
2009-02-15,0.0
2009-02-16,0.0
2009-02-17,0.0
2009-02-18,0.0
2009-02-19,0.0
2009-02-20,0.0
2009-02-21,0.0
2009-02-22,0.0
2009-02-23,0.0
2009-02-24,0.0
2009-02-25,0.0
2009-02-26,0.0
2009-02-27,0.0
2009-02-28,0.0
2009-01-03,0.0
2009-02-03,0.0
2009-03-03,0.0
2009-04-03,0.0
2009-05-03,0.0
2009-06-03,0.0
2009-07-03,0.0
2009-08-03,0.0
2009-09-03,0.0
2009-10-03,0.0
2009-11-03,0.0
2009-12-03,0.0
2009-03-13,0.0
2009-03-14,0.0
2009-03-15,0.0
2009-03-16,0.0
2009-03-17,0.0
2009-03-18,0.0
2009-03-19,0.0
2009-03-20,0.0
2009-03-21,0.0
2009-03-22,0.0
2009-03-23,0.0
2009-03-24,0.0
2009-03-25,0.0
2009-03-26,0.0
2009-03-27,0.0
2009-03-28,0.0
2009-03-29,0.0
2009-03-30,0.0
2009-03-31,0.0
2009-01-04,0.0
2009-02-04,0.0
2009-03-04,0.0
2009-04-04,0.0
2009-05-04,0.0
2009-06-04,0.0
2009-07-04,0.0
2009-08-04,0.0
2009-09-04,0.0
2009-10-04,0.0
2009-11-04,0.0
2009-12-04,0.0
2009-04-13,0.0
2009-04-14,0.0
2009-04-15,0.0
2009-04-16,0.0
2009-04-17,0.0
2009-04-18,0.0
2009-04-19,0.0
2009-04-20,0.0
2009-04-21,0.0
2009-04-22,0.0
2009-04-23,0.0
2009-04-24,0.0
2009-04-25,0.0
2009-04-26,0.0
2009-04-27,0.0
2009-04-28,0.0
2009-04-29,0.0
2009-04-30,0.0
2009-01-05,0.0
2009-02-05,0.0
2009-03-05,0.0
2009-04-05,0.0
2009-05-05,0.0
2009-06-05,0.0
2009-07-05,0.0
2009-08-05,0.0
2009-09-05,0.0
2009-10-05,0.0
2009-11-05,0.0
2009-12-05,0.0
2009-05-13,0.0
2009-05-14,0.0
